Medium Effective Ordinary Full-Hero Candidate IDs (143)
=======================================================

Effective private-server ordinary Medium Hero set: 85 recovered pool200004 Girls + 58 Soul-Casket-backed Legacy extensions.
This is separate from the 56-Girl New Add featured overlay.

Count: 143

HeroID     | Name                              | Native★ | StoneID    | Group/Evidence
10001073   | Beary                             |    3    | 40001073   | Legacy extension (58)
10001075   | Litana                            |    2    | 40001075   | Recovered Medium pool200004 (85)
10001078   | Skarivine                         |    3    | 40001078   | Recovered Medium pool200004 (85)
10001080   | Nun                               |    2    | 40001080   | Legacy extension (58)
10001081   | Chainsaw                          |    3    | 40001081   | Recovered Medium pool200004 (85)
10001083   | Flash                             |    3    | 40001083   | Recovered Medium pool200004 (85)
10001085   | Aeris                             |    3    | 40001085   | Recovered Medium pool200004 (85)
10001086   | Lisa                              |    2    | 40001086   | Legacy extension (58)
10001088   | Yuri                              |    3    | 40001088   | Recovered Medium pool200004 (85)
10001091   | Harley                            |    2    | 40001091   | Recovered Medium pool200004 (85)
10001093   | Sisha                             |    3    | 40001093   | Legacy extension (58)
10001094   | Octagirl                          |    3    | 40001094   | Legacy extension (58)
10001096   | Robin                             |    2    | 40001096   | Legacy extension (58)
10001098   | Magician                          |    3    | 40001098   | Recovered Medium pool200004 (85)
10001099   | Meimi                             |    2    | 40001099   | Legacy extension (58)
10001105   | Aegis                             |    3    | 40001105   | Recovered Medium pool200004 (85)
10001106   | Jelly                             |    3    | 40001106   | Legacy extension (58)
10001107   | Kitty                             |    2    | 40001107   | Legacy extension (58)
10001108   | Ada                               |    3    | 40001108   | Recovered Medium pool200004 (85)
10001110   | Sailor                            |    2    | 40001110   | Legacy extension (58)
10001111   | Rhea                              |    3    | 40001111   | Recovered Medium pool200004 (85)
10001112   | Calista                           |    3    | 40001112   | Recovered Medium pool200004 (85)
10001115   | Marynari                          |    3    | 40001115   | Legacy extension (58)
10001116   | Annabelle                         |    3    | 40001116   | Recovered Medium pool200004 (85)
10001118   | Susan                             |    3    | 40001118   | Legacy extension (58)
10001119   | Shamoke                           |    2    | 40001119   | Legacy extension (58)
10001120   | Stella                            |    3    | 40001120   | Legacy extension (58)
10001124   | Fangirl                           |    3    | 40001124   | Recovered Medium pool200004 (85)
10001125   | Nikita                            |    3    | 40001125   | Recovered Medium pool200004 (85)
10001127   | Elloi                             |    2    | 40001127   | Legacy extension (58)
10001128   | Exorcist                          |    3    | 40001128   | Recovered Medium pool200004 (85)
10001132   | Dolly                             |    3    | 40001132   | Legacy extension (58)
10001135   | Nasha                             |    2    | 40001135   | Legacy extension (58)
10001138   | Yasuna                            |    3    | 40001138   | Recovered Medium pool200004 (85)
10001141   | Edward                            |    3    | 40001141   | Recovered Medium pool200004 (85)
10001145   | Nono                              |    2    | 40001145   | Legacy extension (58)
10001146   | Handana                           |    3    | 40001146   | Recovered Medium pool200004 (85)
10001147   | Okita                             |    3    | 40001147   | Recovered Medium pool200004 (85)
10001149   | Talia                             |    3    | 40001149   | Recovered Medium pool200004 (85)
10001153   | Kenshin                           |    3    | 40001153   | Recovered Medium pool200004 (85)
10001154   | Vanees                            |    2    | 40001154   | Legacy extension (58)
10001155   | Zoe                               |    3    | 40001155   | Recovered Medium pool200004 (85)
10001159   | Huni                              |    3    | 40001159   | Recovered Medium pool200004 (85)
10001163   | Nir                               |    2    | 40001163   | Legacy extension (58)
10001164   | Lana                              |    3    | 40001164   | Recovered Medium pool200004 (85)
10001168   | Hancer                            |    3    | 40001168   | Recovered Medium pool200004 (85)
10001170   | Faye                              |    3    | 40001170   | Recovered Medium pool200004 (85)
10001172   | Hynel                             |    3    | 40001172   | Recovered Medium pool200004 (85)
10001173   | Donna                             |    2    | 40001173   | Legacy extension (58)
10001174   | Yenn                              |    3    | 40001174   | Recovered Medium pool200004 (85)
10001175   | Nobuna                            |    3    | 40001175   | Recovered Medium pool200004 (85)
10001177   | Pyra                              |    3    | 40001177   | Recovered Medium pool200004 (85)
10001178   | Mythra                            |    1    | 40001178   | Recovered Medium pool200004 (85)
10001179   | Poppi                             |    2    | 40001179   | Legacy extension (58)
10001183   | Puny                              |    3    | 40001183   | Recovered Medium pool200004 (85)
10001186   | Yukimura                          |    3    | 40001186   | Recovered Medium pool200004 (85)
10001187   | Revali                            |    3    | 40001187   | Recovered Medium pool200004 (85)
10001188   | Zanny                             |    1    | 40001188   | Recovered Medium pool200004 (85)
10001189   | Golian                            |    3    | 40001189   | Recovered Medium pool200004 (85)
10001191   | Kong Ke                           |    3    | 40001191   | Recovered Medium pool200004 (85)
10001207   | Ryoma                             |    3    | 40001207   | Legacy extension (58)
10001208   | Irene                             |    3    | 40001208   | Legacy extension (58)
10001209   | Cersei                            |    3    | 40001209   | Legacy extension (58)
10001210   | Yolanda                           |    3    | 40001210   | Legacy extension (58)
10001212   | Barbara                           |    3    | 40001212   | Legacy extension (58)
10001213   | Zashiki                           |    3    | 40001213   | Legacy extension (58)
10001214   | Titania                           |    3    | 40001214   | Legacy extension (58)
10001216   | Amira                             |    3    | 40001216   | Legacy extension (58)
10001217   | Jyaku                             |    3    | 40001217   | Legacy extension (58)
10001219   | Froslass                          |    3    | 40001219   | Legacy extension (58)
10001220   | Sandra                            |    3    | 40001220   | Legacy extension (58)
10001222   | Caroline                          |    3    | 40001222   | Legacy extension (58)
10001223   | Lecia                             |    3    | 40001223   | Legacy extension (58)
10001226   | Collins                           |    3    | 40001226   | Legacy extension (58)
10001227   | Shiki                             |    3    | 40001227   | Legacy extension (58)
10001231   | Amanda                            |    3    | 40001231   | Legacy extension (58)
10001233   | Campanula                         |    3    | 40001233   | Legacy extension (58)
10001235   | Siren                             |    3    | 40001235   | Legacy extension (58)
10001236   | Margaret                          |    3    | 40001236   | Legacy extension (58)
10001237   | Serpent                           |    3    | 40001237   | Legacy extension (58)
10001239   | Chily                             |    3    | 40001239   | Legacy extension (58)
10001240   | Temari                            |    3    | 40001240   | Legacy extension (58)
10001243   | DJ.Du                             |    3    | 40001243   | Legacy extension (58)
10001244   | Durandal                          |    3    | 40001244   | Legacy extension (58)
10001246   | Lauren                            |    3    | 40001246   | Legacy extension (58)
10001247   | Deirdre                           |    3    | 40001247   | Legacy extension (58)
10001249   | SP Aquaris                        |    3    | 40001249   | Legacy extension (58)
10001252   | Sami                              |    3    | 40001252   | Legacy extension (58)
10001254   | Kagetora                          |    3    | 40001254   | Legacy extension (58)
10001255   | SP Gambler                        |    3    | 40001255   | Legacy extension (58)
10001257   | SP Lavia                          |    3    | 40001257   | Legacy extension (58)
10001259   | SP Xmas Elf                       |    3    | 40001259   | Legacy extension (58)
